fight_id,event_date,category,fighter_a_name,fighter_b_name,age_a,age_b,age_diff,stance_a,stance_b,height_diff,reach_diff,win_pct_diff,ko_rate_diff,sub_rate_diff,dec_rate_diff,ko_loss_rate_diff,sub_loss_rate_diff,sig_str_landed_per_min_diff,sig_str_absorbed_per_min_diff,sig_str_accuracy_diff,td_avg_per_15min_diff,td_accuracy_diff,td_defense_diff,sub_att_per_15min_diff,ctrl_time_pct_diff,days_since_last_fight_diff,win_streak_diff,losing_streak_diff,total_fights_diff,elo_diff,recent_3_wins_diff,recent_3_losses_diff,recent_5_wins_diff,recent_5_losses_diff,recent_3_ko_loss_rate_diff,recent_5_ko_loss_rate_diff,decay_sig_per_min_diff,decay_sig_absorbed_per_min_diff,decay_td_per_15min_diff,avg_opp_elo_diff,avg_opp_elo_wins_diff,winner
fight_00001,2001-02-23,Middleweight,Evan Tanner,Tito Ortiz,30.0,26.0,4.0,Orthodox,Orthodox,-7.0,0.0,,,,,,,,,,,,,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00002,2001-02-23,Lightweight,Jens Pulver,Caol Uno,26.0,25.0,1.0,Southpaw,Southpaw,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00003,2001-02-23,Welterweight,Fabiano Iha,Phil Johns,30.0,32.0,-2.0,Orthodox,Southpaw,16.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00004,2001-02-23,Middleweight,Elvis Sinosic,Jeremy Horn,30.0,25.0,5.0,Orthodox,Orthodox,5.0,8.0,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00005,2001-02-23,Heavyweight,Josh Barnett,Pedro Rizzo,23.0,26.0,-3.0,Orthodox,Orthodox,5.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00006,2001-02-23,Heavyweight,Mark Robinson,Bobby Hoffman,,32.0,,Orthodox,Orthodox,-5.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,No Contest
fight_00007,2001-02-23,Middleweight,Curtis Stout,Phil Baroni,27.0,24.0,3.0,Southpaw,Orthodox,10.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00008,2001-02-23,Welterweight,Sean Sherk,Tiki Ghosn,27.0,24.0,3.0,Orthodox,Orthodox,-10.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00009,2001-05-04,Heavyweight,Randy Couture,Pedro Rizzo,37.0,27.0,10.0,Orthodox,Orthodox,0.0,,,,,,,,,,0.08518518518518525,,0.0,0.0,,,,-1,0,-1,-48.0,-1,0,-1,0,,,,,,,,1
fight_00010,2001-05-04,Welterweight,Carlos Newton,Pat Miletich,24.0,33.0,-9.0,Orthodox,Orthodox,-3.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00011,2001-05-04,Light Heavyweight,Chuck Liddell,Kevin Randleman,31.0,29.0,2.0,Orthodox,Orthodox,10.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00012,2001-05-04,Welterweight,Matt Serra,Shonie Carter,26.0,29.0,-3.0,Orthodox,Southpaw,-10.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00013,2001-05-04,Heavyweight,Semmy Schilt,Pete Williams,27.0,25.0,2.0,Orthodox,Orthodox,18.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00014,2001-05-04,Light Heavyweight,Matt Lindland,Ricardo Almeida,30.0,24.0,6.0,Southpaw,Orthodox,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00015,2001-05-04,Lightweight,Joey Gilbert,BJ Penn,24.0,22.0,2.0,Orthodox,Orthodox,5.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00016,2001-05-04,Welterweight,Steve Berger,Tony DeSouza,27.0,26.0,1.0,Orthodox,Southpaw,-3.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00017,2001-06-29,Light Heavyweight,Tito Ortiz,Elvis Sinosic,26.0,30.0,-4.0,Orthodox,Orthodox,0.0,-8.0,0.0,1.0,-1.0,0.0,,,0.8888080382041275,-0.11555354155047404,0.2682733575437438,5.126737739568016,0.05363984674329503,0.0,-10.465116279069768,0.03125,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,12.427325581395348,-1.3953488372093021,28.125,0.0,0.0,1
fight_00018,2001-06-29,Lightweight,Din Thomas,BJ Penn,24.0,22.0,2.0,Orthodox,Orthodox,0.0,,,,,,,,,,-0.11322701688555348,,-0.09333333333333338,-0.059259259259259234,,,,-1,0,-1,-48.0,-1,0,-1,0,,,,,,,,2
fight_00019,2001-06-29,Heavyweight,Semmy Schilt,Josh Barnett,27.0,23.0,4.0,Orthodox,Orthodox,18.0,,1.0,,,,,,-0.8096768501953164,-0.49851733944484167,0.15697794269222842,1.7416281377290161,0.0,-0.052083333333333315,0.0,0.007731958762886598,-70.0,1,-1,0,96.0,1,-1,1,-1,-1.0,-1.0,-1.6751199073818845,-1.0449859418931586,0.0,0.0,,2
fight_00020,2001-06-29,Welterweight,Pat Miletich,Shonie Carter,33.0,29.0,4.0,Orthodox,Southpaw,0.0,,-1.0,,,,,,0.5050327129687178,0.26079638911751435,-0.2259856070087609,0.6796017137101495,0.06060606060606061,0.04876033057851242,0.0,-0.0819304152637486,0.0,-1,1,0,-96.0,-1,1,-1,1,0.0,0.0,0.7542087542087543,0.354016354016354,0.0,0.0,,1
fight_00021,2001-06-29,Lightweight,Fabiano Iha,Caol Uno,30.0,26.0,4.0,Orthodox,Southpaw,3.0,,1.0,,,,,,0.9455255436694053,0.9632893890194576,-0.16053639846743295,12.895169870867685,0.12624434389140277,0.06209150326797386,9.0,0.456,0.0,1,-1,0,96.0,1,-1,1,-1,0.0,0.0,1.48,1.04,8.4,0.0,,2
fight_00022,2001-06-29,Light Heavyweight,Yuki Kondo,Vladimir Matyushenko,25.0,30.0,-5.0,Southpaw,Orthodox,-3.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00023,2001-06-29,Heavyweight,Ricco Rodriguez,Andrei Arlovski,23.0,22.0,1.0,Orthodox,Orthodox,3.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,1
fight_00024,2001-06-29,Welterweight,Tony DeSouza,Paul Rodriguez,26.0,26.0,0.0,Southpaw,Orthodox,13.0,,,,,,,,,,0.05542823642274686,,0.09999999999999998,0.0,,,,1,0,1,48.0,1,0,1,0,,,,,,,,1
fight_00025,2001-09-28,Light Heavyweight,Vladimir Matyushenko,Tito Ortiz,30.0,26.0,4.0,Orthodox,Orthodox,-7.0,0.0,0.0,-1.0,0.0,1.0,,,-4.172607233720431,-0.6462611352464895,-0.04079024247735907,-6.988040576651617,-0.025510204081632626,0.09795918367346934,0.0,-0.42200364298724957,0.0,-1,0,-1,-48.0,-1,0,-1,0,0.0,0.0,-9.735184850849457,-0.753357841534209,-4.93681070685037,-24.0,-24.0,2
fight_00026,2001-09-28,Lightweight,Jens Pulver,Dennis Hallman,26.0,25.0,1.0,Southpaw,Orthodox,-5.0,-5.0,,,,,,,,,-0.10737781954887227,,0.0,0.11538461538461542,,,,1,0,1,48.0,1,0,1,0,,,,,,,,1
fight_00027,2001-09-28,Light Heavyweight,Chuck Liddell,Murilo Bustamante,31.0,35.0,-4.0,Orthodox,Orthodox,0.0,,,,,,,,,,0.021641623682440048,,0.0,0.09999999999999998,,,,1,0,1,48.0,1,0,1,0,,,,,,,,1
fight_00028,2001-09-28,Welterweight,Matt Serra,Yves Edwards,27.0,24.0,3.0,Orthodox,Southpaw,-7.0,-12.0,,,,,,,,,-0.018965517241379293,,0.007936507936507908,0.051146384479717755,,,,0,1,1,-48.0,0,1,0,1,,,,,,,,1
fight_00029,2001-09-28,Middleweight,Gil Castillo,Dave Menne,35.0,27.0,8.0,Southpaw,Orthodox,-3.0,,,,,,,,,,0.0,,0.0,0.0,,,,0,0,0,0.0,0,0,0,0,,,,,,,,2
fight_00030,2001-09-28,Welterweight,Tony DeSouza,Jutaro Nakao,27.0,30.0,-3.0,Southpaw,Southpaw,8.0,,,,,,,,,,0.03232056362835756,,0.13928571428571423,0.06326530612244907,,,,2,0,2,89.4104263791678,2,0,2,0,,,,,,,,2
fight_00031,2001-09-28,Middleweight,Eugene Jackson,Ricardo Almeida,35.0,24.0,11.0,Orthodox,Orthodox,-10.0,,,,,,,,,,0.014635211882918275,,0.048513302034428774,0.06259780907668233,,,,0,0,-1,0.0,0,0,0,0,,,,,,,,2
fight_00032,2001-09-28,Lightweight,Fabiano Iha,Din Thomas,31.0,25.0,6.0,Orthodox,Orthodox,-2.0,,0.5,,,,0.0,0.0,0.7442642957042608,0.3826083788949941,0.07858724932654892,-1.8752482851440995,-0.04992492492492484,-0.024024024024023927,8.653846153846153,-0.5325854700854701,0.0,0,0,1,28.4750662141455,1,0,1,0,-0.5,-0.5,2.291424372157228,0.8012854938506666,-1.6139160008262423,-72.0,,2
